animeID,name,scored
360,Stratos 4 OVA,6.84
361,Dirty Pair,7.21
362,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,6.55
363,Final Fantasy,6.22
364,Kaleido Star,8.03
365,Kaleido Star: Aratanaru Tsubasa - Extra Stage,7.65
366,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.98
367,Fullmetal Alchemist: The Conqueror of Shamballa,7.69
368,Howl no Ugoku Shiro,8.73
369,Iria: Zeiram The Animation,7.18
370,"Kumo no Mukou, Yakusoku no Basho",7.75
371,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,5.6
372,Magic Knight Rayearth,7.52
373,Perfect Blue,8.32
374,Phantom The Animation,6.62
375,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.59
376,Onegai☆Teacher: Himitsu na Futari,7.39
377,Maria-sama ga Miteru: Haru,7.79
378,Tales of Eternia The Animation,6.29
379,Weiß Kreuz Glühen,6.68
380,Weiß Kreuz,6.81
381,Tenjou Tenge: The Ultimate Fight,7.15
382,InuYasha: Guren no Houraijima,7.62
383,InuYasha: Kagami no Naka no Mugenjo,7.75
384,InuYasha: Tenka Hadou no Ken,7.88
385,.hack//Gift,6.3
386,Fantastic Children,7.63
387,Mushishi,8.74
388,One Piece Movie 2: Nejimaki-jima no Daibouken,7.29
389,One Piece Movie 4: Dead End no Bouken,7.7
390,One Piece Movie 5: Norowareta Seiken,7.39
391,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,7.75
392,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,7.41
393,One Piece: Taose! Kaizoku Ganzack,6.83
394,Ghost in the Shell: Stand Alone Complex,8.46
395,Karin,7.28
396,To Heart,6.67
397,Tide-Line Blue,6.72
398,Macross Plus,7.79
399,Hotori: Tada Saiwai wo Koinegau,7.08
400,Aria The Animation,7.75
401,Sousei no Aquarion,7.18
402,Yu☆Gi☆Oh! Duel Monsters,7.57
403,Yu☆Gi☆Oh!: Duel Monsters GX,7.23
